title,num_subscribers,course_type,level,subject,language,subtitles,price,type_ins,duration_interval
"American Prophet: The Inner Life and Global Vision of Martin Luther King, Jr.",0,Self-paced on your time,Introductory,History,English,English,50.0,University,30-40h
China’s First Empires and the Rise of Buddhism,46053,Self-paced on your time,Introductory,History,English,"English, 中文",139.0,University,30-40h
Apnea y Trastornos del Sueño,14902,Self-paced on your time,Introductory,Health & Safety,Español,Español,49.0,University,80h+
Educación sobre el cambio climático,23253,Self-paced on your time,Introductory,Education & Teacher Training,Español,Español,25.0,Other,40-50h
Quantum Mechanics: A First Course,0,Instructor-led on a course schedule,Advanced,Physics,English,English,149.0,Institute,80h+
Urban Sewage Treatment,40408,Self-paced on your time,Intermediate,Engineering,English,English,50.0,University,40-50h
Doing Gender and Why it Matters,6826,Self-paced on your time,Introductory,Social Sciences,English,English,99.0,University,0-10h
Producción musical y su efecto en la composición,7869,Self-paced on your time,Introductory,Music,Español,Español,49.0,University,20-30h
"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",12425,Self-paced on your time,Intermediate,Electronics,English,"English, 中文",70.0,University,20-30h
"19th-Century Opera: Meyerbeer, Wagner, & Verdi",9340,Self-paced on your time,Introductory,Music,English,English,99.0,University,20-30h
Modelos predictivos con Machine Learning,5102,Self-paced on your time,Intermediate,Computer Science,Español,Español,49.0,University,20-30h
Quantitative Marketing Research,0,Self-paced on your time,Introductory,Business & Management,English,English,50.0,Institute,10-20h
Les fondements de la stratégie d’entreprise,33021,Instructor-led on a course schedule,Introductory,Business & Management,Français,Français,150.0,University,40-50h
Solar Energy: Integration of Photovoltaic Systems in Microgrids,20068,Instructor-led on a course schedule,Advanced,Engineering,English,English,250.0,University,80h+
"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",12630,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,University,20-30h
Probability and Statistics I:  A Gentle Introduction to Probability,0,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,English,199.0,Institute,20-30h
