title,rating,reviews_count,type_ins
Solar Energy Basics,4.767726161369193,409,University
Front-End Web UI Frameworks and Tools: Bootstrap 4,4.813981762917933,1645,University
Building Scalable Java Microservices with Spring Boot and Spring Cloud,3.94300518134715,193,Other
Introduction to Forensic Science,4.84593023255814,344,University
Google Cloud Product Fundamentals,4.619565217391305,92,Other
American Contract Law I,4.852941176470588,102,University
Engineering Health: Introduction to Yoga and Physiology,4.701298701298701,77,University
AI for Medical Diagnosis,4.583657587548638,257,Other
Natural Language Processing with Sequence Models,3.967741935483871,62,Other
Introduction to Electronics,4.671309192200557,359,Institute
International Humanitarian Law in Theory and Practice,4.842931937172775,191,University
Making Architecture,4.823275862068965,232,Other
Model Thinking,4.772251308900524,382,University
Supporting children with difficulties in reading and writing,4.747282608695652,368,University
Innovation Management,4.636075949367089,316,University
The Manager's Toolkit: A Practical Guide to Managing People at Work,4.6328125,512,University
"The Modern World, Part One: Global History from 1760 to 1910",4.815175097276264,514,University
Supply Chain Principles,4.561933534743202,331,Institute
Essential Google Cloud Infrastructure: Core Services,4.650331125827814,755,Other
Weight Management: Beyond Balancing Calories,4.73936170212766,188,University
Miracles of Human Language: An Introduction to Linguistics,4.666666666666667,483,University
Java Programming: Solving Problems with Software,4.435828877005347,1122,University
Race and Cultural Diversity in American Life and History,4.510204081632653,98,University
Inspiring and Motivating Individuals,4.828644501278772,782,University
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.7855855855855856,1110,University
Healing with the Arts,4.716814159292035,226,University
People Analytics,4.511758118701008,893,University
What is Social?,4.5860517435320585,889,University
UX Design Fundamentals,4.767068273092369,249,Institute
Creative Thinking: Techniques and Tools for Success,4.746987951807229,664,University
Introduction to Classical Music,4.909090909090909,792,University
Children's Human Rights - An Interdisciplinary Introduction,4.627976190476191,336,University
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,4.488188976377953,127,Other
Introduction to Data Analysis Using Excel,4.675745784695201,1542,University
